imgnetid,wnid,word,gloss
0,n01440764,"tench, Tinca tinca",freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water
1,n01443537,"goldfish, Carassius auratus",small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes
2,n01484850,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",large aggressive shark widespread in warm seas; known to attack humans
3,n01491361,"tiger shark, Galeocerdo cuvieri",large dangerous warm-water shark with striped or spotted body
4,n01494475,"hammerhead, hammerhead shark",medium-sized live-bearing shark with eyes at either end of a flattened hammer-shaped head; worldwide in warm waters; can be dangerous
5,n01496331,"electric ray, crampfish, numbfish, torpedo",any sluggish bottom-dwelling ray of the order Torpediniformes having a rounded body and electric organs on each side of the head capable of emitting strong electric discharges
6,n01498041,stingray,large venomous ray with large barbed spines near the base of a thin whiplike tail capable of inflicting severe wounds
7,n01514668,cock,adult male bird
8,n01514859,hen,adult female bird
9,n01518878,"ostrich, Struthio camelus",fast-running African flightless bird with two-toed feet; largest living bird
10,n01530575,"brambling, Fringilla montifringilla",Eurasian finch
11,n01531178,"goldfinch, Carduelis carduelis",small European finch having a crimson face and yellow-and-black wings
12,n01532829,"house finch, linnet, Carpodacus mexicanus",small finch originally of the western United States and Mexico
13,n01534433,"junco, snowbird",small North American finch seen chiefly in winter
14,n01537544,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",small deep blue North American bunting
15,n01558993,"robin, American robin, Turdus migratorius",large American thrush having a rust-red breast and abdomen
16,n01560419,bulbul,nightingale spoken of in Persian poetry
17,n01580077,jay,crested largely blue bird
18,n01582220,magpie,long-tailed black-and-white crow that utters a raucous chattering call
19,n01592084,chickadee,any of various small grey-and-black songbirds of North America
20,n01601694,"water ouzel, dipper",small stocky diving bird without webbed feet; frequents fast-flowing streams and feeds along the bottom
21,n01608432,kite,any of several small graceful hawks of the family Accipitridae having long pointed wings and feeding on insects and small animals
22,n01614925,"bald eagle, American eagle, Haliaeetus leucocephalus",a large eagle of North America that has a white head and dark wings and body
23,n01616318,vulture,any of various large diurnal birds of prey having naked heads and weak claws and feeding chiefly on carrion
24,n01622779,"great grey owl, great gray owl, Strix nebulosa",large dish-faced owl of northern North America and western Eurasia
25,n01629819,"European fire salamander, Salamandra salamandra",a kind of European salamander
26,n01630670,"common newt, Triturus vulgaris",small semiaquatic salamander
27,n01631663,eft,a newt in its terrestrial stage of development
28,n01632458,"spotted salamander, Ambystoma maculatum",glossy black North American salamander with yellow spots
29,n01632777,"axolotl, mud puppy, Ambystoma mexicanum",larval salamander of mountain lakes of Mexico that usually lives without metamorphosing
30,n01641577,"bullfrog, Rana catesbeiana",largest North American frog; highly aquatic with a deep-pitched voice
31,n01644373,"tree frog, tree-frog",any of various Old World arboreal frogs distinguished from true frogs by adhesive suckers on the toes
32,n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",western North American frog with a taillike copulatory organ
33,n01664065,"loggerhead, loggerhead turtle, Caretta caretta",very large carnivorous sea turtle; wide-ranging in warm open seas
34,n01665541,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",wide-ranging marine turtle with flexible leathery carapace; largest living turtle
35,n01667114,mud turtle,bottom-dwelling freshwater turtle inhabiting muddy rivers of North America and Central America
36,n01667778,terrapin,any of various edible North American web-footed turtles living in fresh or brackish water
37,n01669191,"box turtle, box tortoise",chiefly terrestrial turtle of North America; shell can be closed tightly
38,n01675722,banded gecko,any of several geckos with dark bands across the body and differing from typical geckos in having movable eyelids; of United States southwest and Florida Gulf Coast
39,n01677366,"common iguana, iguana, Iguana iguana",large herbivorous tropical American arboreal lizards with a spiny crest along the back; used as human food in Central America and South America
40,n01682714,"American chameleon, anole, Anolis carolinensis",small arboreal tropical American insectivorous lizards with the ability to change skin color
41,n01685808,"whiptail, whiptail lizard",any of numerous very agile and alert New World lizards
42,n01687978,agama,small terrestrial lizard of warm regions of the Old World
43,n01688243,"frilled lizard, Chlamydosaurus kingi",large arboreal insectivorous Australian lizard with a ruff of skin around the neck
44,n01689811,alligator lizard,slim short-limbed lizard having a distinctive fold on each side that permits expansion; of western North America
45,n01692333,"Gila monster, Heloderma suspectum",large orange and black lizard of southwestern United States; not dangerous unless molested
46,n01693334,"green lizard, Lacerta viridis",a common Eurasian lizard about a foot long
47,n01694178,"African chameleon, Chamaeleo chamaeleon",a chameleon found in Africa
48,n01695060,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",the largest lizard in the world (10 feet); found on Indonesian islands
49,n01697457,"African crocodile, Nile crocodile, Crocodylus niloticus",a dangerous crocodile widely distributed in Africa
50,n01698640,"American alligator, Alligator mississipiensis",large alligator of the southeastern United States
51,n01704323,triceratops,huge ceratopsian dinosaur having three horns and the neck heavily armored with a very solid frill
52,n01728572,"thunder snake, worm snake, Carphophis amoenus",small reddish wormlike snake of eastern United States
53,n01728920,"ringneck snake, ring-necked snake, ring snake",any of numerous small nonvenomous North American snakes with a yellow or orange ring around the neck
54,n01729322,"hognose snake, puff adder, sand viper",harmless North American snake with upturned nose; may spread its head and neck or play dead when disturbed
55,n01729977,"green snake, grass snake",either of two North American chiefly insectivorous snakes that are green in color
56,n01734418,"king snake, kingsnake",any of numerous nonvenomous North American constrictors; feed on other snakes and small mammals
57,n01735189,"garter snake, grass snake",any of numerous nonvenomous longitudinally-striped viviparous North American and Central American snakes
58,n01737021,water snake,any of various mostly harmless snakes that live in or near water
59,n01739381,vine snake,slender arboreal snake found from southern Arizona to Bolivia
60,n01740131,"night snake, Hypsiglena torquata",nocturnal prowler of western United States and Mexico
61,n01742172,"boa constrictor, Constrictor constrictor",very large boa of tropical America and West Indies
62,n01744401,"rock python, rock snake, Python sebae",very large python of tropical and southern Africa
63,n01748264,"Indian cobra, Naja naja",a cobra of tropical Africa and Asia
64,n01749939,green mamba,green phase of the black mamba
65,n01751748,sea snake,any of numerous venomous aquatic viviparous snakes having a fin-like tail; of warm littoral seas; feed on fish which they immobilize with quick-acting venom
66,n01753488,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",highly venomous viper of northern Africa and southwestern Asia having a horny spine above each eye
67,n01755581,"diamondback, diamondback rattlesnake, Crotalus adamanteus",large deadly rattlesnake with diamond-shaped markings
68,n01756291,"sidewinder, horned rattlesnake, Crotalus cerastes",small pale-colored desert rattlesnake of southwestern United States; body moves in an s-shaped curve
69,n01768244,trilobite,an extinct arthropod that was abundant in Paleozoic times; had an exoskeleton divided into three parts
70,n01770081,"harvestman, daddy longlegs, Phalangium opilio",spiderlike arachnid with a small rounded body and very long thin legs
71,n01770393,scorpion,arachnid of warm dry regions having a long segmented tail ending in a venomous stinger
72,n01773157,"black and gold garden spider, Argiope aurantia",a widely distributed North American garden spider
73,n01773549,"barn spider, Araneus cavaticus","an orange and tan spider with darkly banded legs that spins an orb web daily; ""the barn spider was made famous in E. B. White's book `Charlotte's Web'"""
74,n01773797,"garden spider, Aranea diademata",a spider common in European gardens
75,n01774384,"black widow, Latrodectus mactans",venomous New World spider; the female is black with an hourglass-shaped red mark on the underside of the abdomen
76,n01774750,tarantula,large hairy tropical spider with fangs that can inflict painful but not highly venomous bites
77,n01775062,"wolf spider, hunting spider",ground spider that hunts its prey instead of using a web
78,n01776313,tick,any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals
79,n01784675,centipede,"chiefly nocturnal predacious arthropod having a flattened body of 15 to 173 segments each with a pair of legs, the foremost pair being modified as prehensors"
80,n01795545,black grouse,grouse of which the male is bluish-black
81,n01796340,ptarmigan,large Arctic and subarctic grouse with feathered feet and usually white winter plumage
82,n01797886,"ruffed grouse, partridge, Bonasa umbellus",valued as a game bird in eastern United States and Canada
83,n01798484,"prairie chicken, prairie grouse, prairie fowl",brown mottled North American grouse of western prairies
84,n01806143,peacock,male peafowl; having a crested head and very large fanlike tail marked with iridescent eyes or spots
85,n01806567,quail,small gallinaceous game birds
86,n01807496,partridge,small Old World gallinaceous game birds
87,n01817953,"African grey, African gray, Psittacus erithacus",commonly domesticated grey parrot with red-and-black tail and white face; native to equatorial Africa
88,n01818515,macaw,long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots
89,n01819313,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",white cockatoo with a yellow erectile crest
90,n01820546,lorikeet,any of various small lories
91,n01824575,coucal,Old World ground-living cuckoo having a long dagger-like hind claw
92,n01828970,bee eater,colorful chiefly tropical Old World bird having a strong graceful flight; feeds on especially bees
93,n01829413,hornbill,bird of tropical Africa and Asia having a very large bill surmounted by a bony protuberance; related to kingfishers
94,n01833805,hummingbird,tiny American bird having brilliant iridescent plumage and long slender bills; wings are specialized for vibrating flight
95,n01843065,jacamar,tropical American insectivorous bird having a long sharp bill and iridescent green or bronze plumage
96,n01843383,toucan,brilliantly colored arboreal fruit-eating bird of tropical America having a very large thin-walled beak
97,n01847000,drake,adult male of a wild or domestic duck
98,n01855032,"red-breasted merganser, Mergus serrator",widely distributed merganser of America and Europe
99,n01855672,goose,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
100,n01860187,"black swan, Cygnus atratus",large Australian swan having black plumage and a red bill
101,n01871265,tusker,any mammal with prominent tusks (especially an elephant or wild boar)
102,n01872401,"echidna, spiny anteater, anteater",a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to Australia
103,n01873310,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",small densely furred aquatic monotreme of Australia and Tasmania having a broad bill and tail and webbed feet; only species in the family Ornithorhynchidae
104,n01877812,"wallaby, brush kangaroo",any of various small or medium-sized kangaroos; often brightly colored
105,n01882714,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",sluggish tailless Australian arboreal marsupial with grey furry ears and coat; feeds on eucalyptus leaves and bark
106,n01883070,wombat,burrowing herbivorous Australian marsupials about the size of a badger
107,n01910747,jellyfish,any of numerous usually marine and free-swimming coelenterates that constitute the sexually reproductive forms of hydrozoans and scyphozoans
108,n01914609,"sea anemone, anemone",marine polyps that resemble flowers but have oral rings of tentacles; differ from corals in forming no hard skeleton
109,n01917289,brain coral,massive reef-building coral having a convoluted and furrowed surface
110,n01924916,"flatworm, platyhelminth",parasitic or free-living worms having a flattened body
111,n01930112,"nematode, nematode worm, roundworm",unsegmented worms with elongated rounded body pointed at both ends; mostly free-living but some are parasitic
112,n01943899,conch,any of various edible tropical marine gastropods of the genus Strombus having a brightly-colored spiral shell with large outer lip
113,n01944390,snail,freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell
114,n01945685,slug,any of various terrestrial gastropods having an elongated slimy body and no external shell
115,n01950731,"sea slug, nudibranch",any of various marine gastropods of the suborder Nudibranchia having a shell-less and often beautifully colored body
116,n01955084,"chiton, coat-of-mail shell, sea cradle, polyplacophore",primitive elongated bilaterally symmetrical marine mollusk having a mantle covered with eight calcareous plates
117,n01968897,"chambered nautilus, pearly nautilus, nautilus",cephalopod of the Indian and Pacific oceans having a spiral shell with pale pearly partitions
118,n01978287,"Dungeness crab, Cancer magister",small edible crab of Pacific coast of North America
119,n01978455,"rock crab, Cancer irroratus",crab of eastern coast of North America
120,n01980166,fiddler crab,burrowing crab of American coastal regions having one claw much enlarged in the male
121,n01981276,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",large edible crab of northern Pacific waters especially along the coasts of Alaska and Japan
122,n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus",lobster of Atlantic coast of America
123,n01984695,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",large edible marine crustacean having a spiny carapace but lacking the large pincers of true lobsters
124,n01985128,"crayfish, crawfish, crawdad, crawdaddy",small freshwater decapod crustacean that resembles a lobster
125,n01986214,hermit crab,small soft-bodied marine crustaceans living in cast-off shells of gastropods
126,n01990800,isopod,any of various small terrestrial or aquatic crustaceans with seven pairs of legs adapted for crawling
127,n02002556,"white stork, Ciconia ciconia",the common stork of Europe; white with black wing feathers and a red bill
128,n02002724,"black stork, Ciconia nigra",Old World stork that is glossy black above and white below
129,n02006656,spoonbill,wading birds having a long flat bill with a tip like a spoon
130,n02007558,flamingo,large pink to scarlet web-footed wading bird with down-bent bill; inhabits brackish lakes
131,n02009229,"little blue heron, Egretta caerulea",small bluish-grey heron of the western hemisphere
132,n02009912,"American egret, great white heron, Egretta albus",a common egret of the genus Egretta found in America; it is a variety of the Old World white egret Casmerodius albus
